communityname,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop,larc_bin
Masoncity,11452,2.75,0.39,98.63,0.71,0.47,12.5,25.72,10.99,8.02,11460,100.0,39738,85.48,0.55,49.45,19.45,3.39,15.86,43523,15866,15943,0,847,10621,7300.0,11359,301,2.66,5.43,16.17,20.29,2.84,71.79,26.42,18.73,15.25,27.17,7.98,22.52,11.58,9.86,3.16,85.12,83.58,93.38,84.97,72.12,75.18,48,0.61,139,0.0,0.0,14.39,39.57,0.0,0.0,0.17,0.48,97.02,0.08,3.07,2.35,2.71,2.85,2.3,78.53,0.91,32.07,3,105,97.54,74.67,0.0,33.33,1974,2.23,0.0,65500,81600,98700,33200,319,378,439,120,455,23.4,20.2,11.3,0,0,1.21,70.58,51.5,71.58,92.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,904.6,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,29.98,6.0,44.97,8.0,59.96,52.0,389.75,247.0,1851.3,4.0,29.98,2.0,14.99,134.91,2286.01,0
Westminstercity,13068,2.52,5.52,93.2,0.74,1.06,17.39,35.2,19.89,12.01,0,0.0,31298,76.7,0.18,44.41,27.85,4.47,13.21,39418,14148,14505,8579,12709,15998,8471.0,7580,1013,8.51,9.51,24.82,21.93,3.73,64.03,14.29,24.96,12.43,27.1,11.28,35.27,15.58,13.65,2.92,66.31,65.58,82.72,63.87,68.76,73.97,201,2.46,214,24.77,24.77,26.64,33.64,0.41,0.41,0.44,0.55,96.28,0.29,2.72,1.76,2.31,2.58,2.1,48.86,1.33,49.99,3,289,94.72,43.76,0.35,25.95,1974,2.3,0.0,81500,94300,118600,37100,305,398,482,177,473,25.6,23.3,11.6,19,0,1.64,66.78,37.53,68.42,87.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,2283.7,0.76,0.0,0.0,0.0,0.0,0.0,0.0,3,20.53,4.0,27.37,19.0,129.99,45.0,307.88,153.0,1046.8,747.0,5110.84,37.0,253.15,13.0,88.94,485.77,6499.73,1
Douglascity,10464,2.74,44.43,54.58,0.66,0.76,17.06,27.81,14.74,12.8,0,0.0,19038,68.45,2.02,22.26,31.34,18.58,12.64,22470,11543,15502,6466,0,34228,6933.0,9080,2639,26.24,15.48,38.02,15.86,8.71,53.51,26.14,23.16,23.06,21.36,10.89,32.25,17.1,14.42,3.17,52.31,44.61,55.47,53.41,59.03,67.56,805,8.41,132,0.0,10.61,26.52,32.58,0.0,0.13,0.33,0.41,97.66,0.17,6.03,4.32,2.62,2.63,2.6,61.89,6.51,39.56,3,410,90.31,61.67,0.49,41.46,1971,16.75,0.71,34000,47300,72400,38400,100,188,258,158,276,26.2,19.2,15.2,0,0,1.26,82.0,52.0,80.72,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,873.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,25.61,3.0,25.61,19.0,162.17,177.0,1510.75,432.0,3687.27,986.0,8415.84,62.0,529.19,4.0,34.14,1724.14,12666.44,1
WestDeptfordtownship,19380,2.62,3.86,94.87,0.92,1.28,13.11,28.55,13.05,9.4,19308,99.63,38410,85.57,0.3,43.24,21.49,3.06,14.06,43531,17276,17340,14565,6288,21284,20312.0,38203,1008,5.25,5.42,20.42,18.2,3.88,68.6,19.66,20.95,15.36,26.33,9.78,29.53,11.05,10.44,3.15,80.07,78.18,88.19,77.27,56.32,67.33,363,2.66,496,9.48,10.89,10.89,12.9,0.24,0.28,0.28,0.33,94.1,0.49,4.1,2.88,2.6,2.88,1.94,77.48,1.53,45.42,3,231,96.98,69.85,1.73,30.3,1968,1.27,0.26,79900,101300,132200,52300,430,481,537,107,548,23.8,20.7,13.6,7,0,2.56,60.88,57.69,81.26,92.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,1176.9,2.69,0.0,0.0,0.0,0.0,0.0,0.0,1,4.92,2.0,9.84,9.0,44.29,17.0,83.66,146.0,718.47,443.0,2180.01,42.0,206.68,1.0,4.92,142.71,3110.08,0
Greenburghtown,83816,2.7,13.15,77.73,7.6,5.88,11.48,22.61,10.44,12.67,83816,100.0,58947,83.59,0.69,61.56,25.0,2.6,17.35,69707,29627,32296,16369,21377,27887,14247.0,16870,3341,4.1,4.7,12.2,46.65,4.37,66.54,11.53,34.94,5.43,48.31,5.58,28.39,8.93,7.39,3.06,84.04,77.06,94.09,85.16,53.69,64.18,1207,2.22,15176,18.19,29.24,36.45,42.57,3.29,5.29,6.6,7.71,79.29,3.01,4.4,3.25,2.61,2.75,2.28,74.7,2.65,43.09,3,1352,95.83,70.99,1.55,38.17,1954,0.94,0.26,226700,292200,385700,159000,459,633,907,448,698,23.8,22.8,15.7,527,0,18.11,65.94,62.92,80.4,90.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,2651.1,19.89,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.87,48.0,116.89,46.0,112.01,188.0,457.8,1135.0,2763.84,22.0,53.57,4.0,9.74,233.77,3284.96,0
SantaMonicacity,86905,1.94,4.51,82.8,6.39,14.05,7.62,21.72,8.68,14.05,86905,100.0,35997,75.32,0.6,48.27,21.85,4.76,10.37,51085,29134,31506,13801,14193,26110,11390.0,13293,7979,9.35,5.51,12.51,43.39,4.81,65.83,9.49,33.55,5.17,46.61,13.78,43.11,18.43,16.26,2.8,69.12,69.13,87.94,64.26,58.83,65.1,1624,3.53,21990,11.43,18.16,25.88,35.26,2.89,4.6,6.55,8.92,72.69,4.65,4.22,1.73,1.88,2.33,1.71,34.14,5.38,81.69,2,2893,93.94,27.51,6.64,40.41,1958,1.36,0.44,393600,500001,500001,106401,381,498,648,267,532,22.2,25.5,11.3,318,368,25.3,33.13,52.78,84.79,88.29,161.0,184.03,139.0,158.89,112281.0,128344.6,697.4,184.0,91.85,71.43,9.32,16.15,1.86,27.33,6.0,9.0,67.4,8.6,10143.0,5.41,63.0,17231368.0,86.34,5.0,3.73,196965.91,9,10.29,49.0,56.01,716.0,818.44,671.0,767.0,1511.0,1727.17,6181.0,7065.29,1754.0,2004.94,137.0,156.6,1651.73,10954.0,1
Stephenvillecity,13502,2.45,1.33,93.1,0.7,7.04,24.03,39.51,27.56,13.92,0,0.0,18346,72.89,3.75,38.56,29.55,4.94,16.68,30245,10802,11140,5622,6092,8000,6247.0,6252,2724,22.14,8.74,23.7,27.65,7.18,55.69,13.83,30.71,15.11,26.85,7.47,42.42,10.85,9.27,2.95,77.45,72.91,91.63,77.81,45.45,61.19,86,1.01,324,9.88,28.4,41.67,52.16,0.24,0.68,1.0,1.25,92.05,1.22,3.43,1.87,2.21,2.35,2.06,56.27,3.2,56.28,2,825,86.97,52.94,1.21,35.03,1970,8.67,0.7,33400,50600,67400,34000,206,267,335,129,331,30.3,19.9,14.0,0,0,2.38,80.95,36.61,60.09,95.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,1605.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,6.91,3.0,20.72,5.0,34.54,132.0,911.79,546.0,3771.5,10.0,69.08,1.0,6.91,62.17,4759.27,1
Clintontown,12767,2.74,1.02,96.77,1.03,2.93,13.45,24.99,11.69,8.99,0,0.0,45884,85.1,0.83,53.91,21.24,2.26,12.62,51534,17698,17793,16409,12898,21009,10218.0,9590,421,3.33,3.18,14.15,26.46,4.84,72.21,19.86,21.92,12.73,30.38,8.03,27.27,11.69,9.91,3.15,83.9,82.14,94.51,90.65,61.88,74.3,115,1.32,361,19.67,21.05,26.87,28.81,0.56,0.6,0.76,0.81,94.24,1.19,4.07,3.09,2.72,2.84,2.3,80.91,1.22,36.79,3,752,86.1,77.42,0.93,68.35,1965,1.05,1.61,151400,174800,215400,64000,488,640,750,262,775,28.7,24.7,13.5,46,0,2.83,62.52,54.9,73.72,89.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,756.9,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,30.4,5.0,38.0,78.0,592.75,143.0,1086.71,6.0,45.6,1.0,7.6,68.39,1732.65,0
Columbiacity,69101,2.67,9.93,85.14,4.12,1.31,26.06,45.3,32.02,7.48,69101,100.0,22059,82.93,1.76,45.96,16.91,4.87,10.49,34598,12452,13355,6933,11495,7637,7127.0,9915,13195,22.42,5.02,12.8,44.98,4.91,60.7,6.25,44.51,7.78,35.91,7.46,50.96,10.34,8.97,2.93,70.25,67.89,82.87,62.6,69.78,74.98,1903,5.69,4162,40.92,55.89,62.88,71.48,2.46,3.37,3.79,4.31,91.64,1.57,3.23,1.83,2.27,2.54,2.06,48.96,2.44,55.05,2,1710,93.79,43.76,2.92,26.67,1969,3.85,0.16,54200,73400,101600,47400,234,306,378,144,382,29.0,17.9,11.9,57,3,6.02,59.86,27.44,52.34,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,1504.7,1.29,0.0,0.0,0.0,0.0,0.0,0.0,1,1.34,30.0,40.15,108.0,144.55,300.0,401.52,571.0,764.22,3532.0,4727.17,166.0,222.17,30.0,40.15,587.55,5753.71,1
Morristowntown,16189,2.41,23.06,70.73,2.51,13.65,9.1,28.07,12.04,12.82,16189,100.0,42748,82.46,0.66,51.96,25.8,4.42,12.49,49718,22036,25204,13370,18017,28552,10588.0,10887,1116,7.27,8.68,21.61,32.43,5.03,67.6,14.89,26.99,8.67,33.98,11.17,43.72,14.65,13.02,3.01,63.87,58.69,80.47,69.8,63.48,71.72,648,6.08,3166,26.85,46.3,51.74,60.99,5.25,9.06,10.12,11.93,77.58,6.4,7.62,4.25,2.28,2.61,2.08,43.15,5.27,62.26,2,349,95.06,37.6,2.87,30.95,1951,2.1,0.0,168900,205800,248800,79900,444,595,754,310,640,24.0,22.5,14.3,62,1,19.56,49.73,46.68,71.81,82.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5316.9,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,18.19,48.0,291.07,80.0,485.11,166.0,1006.61,710.0,4305.38,50.0,303.2,0.0,0.0,794.37,5615.18,1
Salemcity,12233,2.44,0.47,99.0,0.32,0.48,12.56,23.9,11.25,16.38,0,0.0,23684,67.32,0.58,42.79,35.95,7.59,20.07,29733,11548,11517,9222,30192,49869,6550.0,12713,1669,13.85,7.17,26.28,9.37,5.19,55.41,34.13,19.37,26.49,16.47,10.52,22.85,12.75,11.74,3.01,75.67,73.46,84.53,76.14,48.86,59.83,76,0.74,158,13.29,13.29,13.29,13.29,0.17,0.17,0.17,0.17,96.3,0.17,3.68,2.48,2.42,2.55,2.17,68.08,0.86,41.96,3,291,94.51,64.47,3.09,49.14,1946,6.51,0.47,31000,42200,57000,26000,182,236,291,109,330,24.5,18.7,12.3,0,0,1.29,79.24,55.22,87.22,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,2570.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,46.52,4.0,31.01,89.0,690.08,10.0,77.54,1.0,7.75,46.52,806.39,0
VadnaisHeightscity,11041,2.81,0.72,96.34,2.15,1.21,11.63,25.48,9.79,4.04,11041,100.0,43929,93.09,0.21,50.41,11.36,1.99,8.59,48159,16652,16752,16480,25606,11594,10849.0,9975,297,2.7,1.61,6.8,29.74,4.34,79.76,21.72,19.8,10.0,31.85,8.42,25.32,12.03,10.29,3.24,80.65,81.85,90.28,87.17,76.97,77.17,72,1.14,202,2.48,5.45,22.28,26.24,0.05,0.1,0.41,0.48,96.22,0.41,3.75,2.83,2.81,2.91,2.29,87.38,1.89,41.46,3,106,97.37,84.48,0.94,19.81,1981,0.97,0.12,76700,96700,124700,48000,447,502,545,98,538,21.8,22.9,13.7,0,0,1.83,77.91,43.73,77.3,91.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1462.5,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,14.95,3.0,22.42,35.0,261.6,121.0,904.4,23.0,171.91,1.0,7.47,0.0,1345.39,0
Selmacity,14757,3.24,1.39,64.47,3.34,61.28,16.41,29.56,14.35,10.25,0,0.0,21198,73.14,3.05,24.13,29.47,19.58,14.13,23858,8175,9140,3050,9943,11638,5749.0,5830,3503,24.12,27.77,46.07,8.91,17.23,50.83,18.9,20.78,23.75,15.48,8.01,32.1,14.23,11.22,3.55,65.87,59.86,64.27,62.7,50.74,59.41,825,6.19,2909,21.31,34.17,45.48,48.88,4.2,6.74,8.97,9.64,50.08,14.53,12.96,10.58,3.21,3.06,3.4,53.25,19.34,59.41,2,140,97.02,55.86,2.86,30.71,1968,4.72,0.4,56800,71300,89400,32600,237,316,383,146,386,28.9,23.5,12.1,0,0,19.71,58.4,50.64,85.92,92.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3760.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.06,4.0,24.24,30.0,181.83,186.0,1127.34,181.0,1097.04,486.0,2945.63,250.0,1515.24,12.0,72.73,1339.48,5630.64,0
Delanocity,22762,3.65,2.35,24.26,21.54,62.45,16.97,30.39,15.04,9.67,0,0.0,21054,80.13,1.24,17.57,27.35,18.65,10.93,21787,7491,11418,5192,6320,7544,5699.0,5975,5346,23.66,42.9,58.07,7.6,23.83,48.85,5.56,17.87,11.4,14.15,6.45,32.71,10.05,8.26,3.96,70.47,61.53,68.64,76.11,58.93,66.59,1139,5.28,9075,15.48,24.19,37.29,49.85,6.17,9.64,14.87,19.88,31.76,24.15,21.46,17.77,3.64,3.65,3.63,53.51,33.13,56.91,2,246,96.2,53.38,2.03,24.8,1965,8.68,1.79,53600,65400,79600,26000,221,305,374,153,374,26.5,22.8,11.6,0,0,39.87,45.9,51.54,80.87,90.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,2572.6,0.35,0.0,0.0,0.0,0.0,0.0,0.0,4,14.38,14.0,50.32,73.0,262.37,117.0,420.52,435.0,1563.45,1324.0,4758.65,175.0,628.98,1.0,3.59,747.58,6954.68,1
Davenportcity,95333,2.56,7.89,89.13,1.05,3.46,14.14,27.75,13.47,11.3,95027,99.68,26218,76.25,0.76,42.51,26.36,8.0,16.97,32611,12557,13289,6604,7503,4966,7002.0,7627,14452,15.59,7.16,21.19,20.14,6.51,61.58,17.62,22.98,16.81,24.95,10.16,30.8,13.35,11.85,3.08,68.0,65.35,71.42,72.26,63.89,69.95,3696,5.04,2348,18.06,26.83,34.88,38.67,0.44,0.66,0.86,0.95,94.69,0.83,4.64,3.12,2.5,2.65,2.25,64.98,1.99,48.98,3,3138,92.22,61.17,7.84,43.56,1956,4.27,0.31,37200,48800,65100,27900,220,283,345,125,351,26.3,17.3,13.1,107,31,2.46,63.82,51.41,81.4,86.3,142.0,145.78,123.0,126.27,94000.0,96499.3,662.0,145.8,93.36,95.07,2.82,1.41,0.0,4.23,6.0,10.0,110.3,63.6,1499.7,1.06,61.0,8517862.0,86.62,10.0,4.23,87443.4,4,4.11,65.0,66.73,290.0,297.71,1166.0,1197.0,1837.0,1885.84,5551.0,5698.59,415.0,426.03,66.0,67.75,1565.55,8078.23,1
Kilgorecity,11066,2.54,13.06,84.55,0.11,3.24,15.65,26.46,14.14,16.39,0,0.0,24644,71.46,0.89,36.61,36.45,4.77,17.0,31308,12644,13832,5209,0,0,10970.0,8285,1472,13.89,12.08,27.01,17.73,7.02,55.47,15.46,23.84,17.6,22.84,10.23,25.41,12.6,11.52,3.02,73.97,68.06,77.9,80.84,55.35,67.33,258,2.85,277,21.66,36.46,52.35,57.04,0.54,0.91,1.31,1.43,95.12,1.8,4.12,2.8,2.43,2.43,2.43,65.54,3.35,48.6,3,516,89.42,65.54,4.26,65.89,1960,8.18,0.72,27900,45600,70300,42400,203,265,331,128,370,24.5,18.8,13.2,0,0,2.49,70.52,52.87,70.99,93.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,895.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.64,17.0,146.88,21.0,181.44,82.0,708.48,264.0,2280.97,892.0,7706.93,97.0,838.09,4.0,34.56,1045.45,10860.55,1
Cranstoncity,76060,2.59,2.42,95.08,1.77,2.01,11.26,24.23,11.85,16.87,76060,100.0,34528,74.33,0.64,49.37,35.27,6.39,19.61,41896,15922,16165,11458,7652,11421,9115.0,8496,4715,6.52,8.52,26.03,21.11,5.96,58.19,19.16,24.21,11.88,28.84,8.3,31.6,10.94,9.69,3.02,78.22,75.87,86.2,77.97,55.3,66.56,1114,2.08,5586,4.87,9.38,15.04,22.11,0.36,0.69,1.1,1.62,86.28,1.92,3.3,2.31,2.46,2.71,1.97,73.09,1.04,46.14,3,1167,96.18,66.36,0.94,32.56,1955,1.68,0.37,105800,129700,161000,55200,335,461,562,227,534,27.1,22.4,14.6,84,0,7.34,76.62,63.0,88.23,93.89,140.0,182.34,117.0,152.38,9580.0,12477.2,68.4,182.3,95.79,99.29,0.71,0.0,0.0,0.71,0.0,10.0,257.5,29.6,2569.9,2.62,85.0,6264352.0,83.57,0.0,0.0,81588.3,0,0.0,9.0,11.72,36.0,46.89,83.0,108.1,616.0,802.29,1650.0,2149.0,339.0,441.52,16.0,20.84,166.71,3413.65,0
LongBeachcity,429433,2.7,13.68,58.38,13.57,23.62,13.82,31.13,15.56,9.56,429433,100.0,31938,77.65,0.52,35.44,21.04,11.35,13.73,36305,15639,20334,10518,12658,9544,6860.0,7758,69694,16.82,11.53,24.49,23.22,6.54,62.93,20.42,22.77,13.21,28.85,11.64,41.43,15.94,13.78,3.36,64.25,60.26,71.53,67.31,50.26,57.56,20207,7.4,104150,19.87,31.62,45.72,61.08,4.82,7.67,11.09,14.81,67.24,9.81,11.98,7.18,2.61,2.55,2.65,40.03,16.49,74.38,2,11413,93.3,40.96,3.39,16.67,1955,4.28,0.73,168700,222900,292600,123900,435,551,694,259,605,30.0,25.1,11.4,394,66,24.25,40.92,40.38,77.16,84.29,643.0,147.47,598.0,137.15,608430.0,139537.3,946.2,147.5,75.18,82.74,5.29,10.11,1.4,16.64,27.0,8.0,277.0,51.8,8287.7,6.3,192.0,80872872.0,93.0,5.0,4.2,185473.8,126,28.9,200.0,45.87,3717.0,852.46,3073.0,704.76,6780.0,1554.92,14108.0,3235.53,7626.0,1748.95,243.0,55.73,1631.98,6595.13,0
Jacksoncity,48949,2.55,40.25,59.13,0.44,0.53,16.01,28.66,15.45,13.55,48949,100.0,21063,73.89,0.79,29.84,31.05,11.81,15.06,26466,11268,14703,6238,11620,11791,4393.0,9400,9796,20.97,13.33,32.56,17.12,6.9,57.5,20.79,25.97,17.83,24.26,11.2,31.68,15.26,13.47,3.01,57.04,51.56,62.4,57.99,68.41,74.04,3441,8.67,327,49.24,51.99,53.52,58.41,0.33,0.35,0.36,0.39,97.77,0.41,4.07,2.77,2.43,2.54,2.29,58.38,2.53,47.95,3,1533,92.61,55.91,1.37,27.14,1965,6.98,0.22,34600,50600,70300,35700,145,240,316,171,334,25.0,20.6,13.2,17,0,0.67,77.24,48.33,80.23,91.22,136.0,247.58,123.0,223.92,34614.0,63013.6,254.5,247.6,78.25,80.88,19.12,0.0,0.0,19.12,0.0,6.0,71.5,41.8,1170.8,1.67,80.0,6877907.0,90.44,10.0,0.0,125209.9,19,34.59,33.0,60.08,247.0,449.66,630.0,1146.89,1264.0,2301.07,3475.0,6326.12,287.0,522.47,35.0,63.72,1691.21,9213.38,1
Corcorancity,13364,5.28,17.13,36.2,0.58,51.77,13.14,39.97,18.07,4.53,0,0.0,21558,74.78,1.16,20.9,23.46,23.06,12.41,22358,8270,12106,5715,8542,14241,6298.0,5898,1965,24.15,18.56,42.24,5.43,12.35,26.3,7.99,19.49,20.51,16.91,6.78,61.96,12.95,8.44,3.68,69.24,63.5,64.77,74.33,52.01,56.18,665,9.3,2136,14.23,23.5,25.51,36.05,2.27,3.76,4.08,5.76,55.84,7.92,14.14,11.53,3.28,3.25,3.32,55.43,18.4,52.4,2,181,93.33,55.94,1.66,47.51,1969,15.82,0.22,46000,58300,74100,28100,190,294,388,198,379,26.1,21.8,12.5,0,0,16.1,56.75,41.71,55.09,91.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,2277.4,0.38,0.0,0.0,0.0,0.0,0.0,0.0,2,14.43,4.0,28.86,12.0,86.57,88.0,634.83,109.0,786.32,178.0,1284.09,34.0,245.27,11.0,79.35,764.68,2395.04,0
FortWorthcity,447619,2.66,22.01,63.79,1.99,19.51,13.84,30.16,14.44,10.07,447157,99.9,26547,80.04,0.83,34.15,23.25,6.18,13.58,30967,13162,16405,7583,10603,11064,6401.0,6956,75597,17.42,12.39,28.38,21.47,7.43,61.85,21.48,21.2,16.43,25.67,13.32,31.15,16.63,15.02,3.22,68.71,62.53,79.11,70.5,60.06,67.32,15913,4.94,40300,14.26,22.64,34.3,52.22,1.28,2.04,3.09,4.7,80.59,4.82,7.84,5.2,2.58,2.7,2.43,57.17,7.88,58.08,2,26155,86.55,54.53,13.05,44.66,1964,9.28,0.58,39400,59900,86900,47500,268,337,415,147,403,24.6,21.4,13.1,884,347,9.0,64.49,45.85,80.21,89.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.2,1537.2,1.65,0.0,0.0,0.0,0.0,0.0,0.0,133,28.89,507.0,110.14,2750.0,597.41,3589.0,779.67,10505.0,2282.1,26310.0,5715.58,6007.0,1304.96,419.0,91.02,1516.12,9393.66,1
WestCaldwelltownship,10422,2.94,0.51,95.7,3.47,1.73,11.64,21.71,10.56,13.53,10422,100.0,65920,83.79,0.0,70.79,28.23,1.66,18.07,70290,25409,25464,28033,0,22561,55369.0,21588,104,1.01,5.68,11.35,41.55,2.03,69.73,16.19,26.84,5.23,44.25,3.42,28.12,5.97,4.75,3.2,92.06,90.36,100.0,89.29,58.39,68.1,28,0.4,885,7.23,9.83,10.51,16.72,0.61,0.83,0.89,1.42,86.83,1.49,4.14,3.44,2.89,2.97,2.16,92.31,0.62,18.0,3,36,99.0,89.71,0.0,47.22,1955,0.0,0.2,193800,233300,285700,91900,626,750,916,290,858,32.2,20.6,14.4,0,0,8.49,69.4,71.74,87.55,94.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,1992.3,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,47.2,4.0,37.76,27.0,254.89,213.0,2010.76,22.0,207.68,0.0,0.0,84.96,2473.33,0
Watsonvillecity,31099,3.3,0.73,55.14,5.55,60.86,15.04,30.06,14.31,11.02,31099,100.0,27980,76.83,1.01,33.42,29.85,12.2,16.45,31160,10422,13124,8581,9541,13585,5984.0,6544,4658,15.3,30.14,46.41,10.66,10.99,59.76,16.22,18.28,20.73,15.67,7.69,32.39,12.68,10.25,3.71,70.95,65.62,82.61,81.23,63.48,67.81,1068,4.52,10919,17.37,29.01,36.93,45.03,6.1,10.19,12.97,15.81,42.77,23.31,18.71,14.02,3.24,2.87,3.58,42.35,26.49,71.81,2,472,95.24,47.82,3.39,40.89,1971,3.39,1.03,146300,185000,233500,87200,401,557,690,289,625,30.3,27.2,11.9,124,25,35.11,48.17,43.75,82.04,90.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,5071.6,1.96,0.0,0.0,0.0,0.0,0.0,0.0,1,3.1,12.0,37.21,128.0,396.87,347.0,1075.9,399.0,1237.13,1729.0,5360.91,199.0,617.02,13.0,40.31,1513.08,7255.36,1
